"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
"GEO-Cloud_003-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,2600.844,10 Aug 2014 17:13:20.844,2915.904,10 Aug 2014 17:18:35.904,315.060
2,8461.278,10 Aug 2014 18:51:01.278,8929.833,10 Aug 2014 18:58:49.833,468.555
3,14308.879,10 Aug 2014 20:28:28.879,14893.241,10 Aug 2014 20:38:13.241,584.362
4,20147.465,10 Aug 2014 22:05:47.465,20795.843,10 Aug 2014 22:16:35.843,648.378
5,25975.552,10 Aug 2014 23:42:55.552,26644.095,10 Aug 2014 23:54:04.095,668.543
6,31790.281,11 Aug 2014 01:19:50.281,32453.828,11 Aug 2014 01:30:53.828,663.547
7,37590.483,11 Aug 2014 02:56:30.483,38245.973,11 Aug 2014 03:07:25.973,655.490
8,43381.643,11 Aug 2014 04:33:01.643,44039.912,11 Aug 2014 04:43:59.912,658.269
9,49179.047,11 Aug 2014 06:09:39.047,49846.521,11 Aug 2014 06:20:46.521,667.474
10,55003.774,11 Aug 2014 07:46:43.774,55667.624,11 Aug 2014 07:57:47.624,663.849
11,60875.075,11 Aug 2014 09:24:35.075,61500.777,11 Aug 2014 09:35:00.777,625.703
12,66805.078,11 Aug 2014 11:03:25.078,67343.442,11 Aug 2014 11:12:23.442,538.364
13,72794.107,11 Aug 2014 12:43:14.107,73195.709,11 Aug 2014 12:49:55.709,401.602
14,78818.156,11 Aug 2014 14:23:38.156,79068.265,11 Aug 2014 14:27:48.265,250.109
15,84793.019,11 Aug 2014 16:03:13.019,85015.119,11 Aug 2014 16:06:55.119,222.100

"GEO-Cloud_003-To-Sydney - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,24062.936,10 Aug 2014 23:11:02.936,24267.647,10 Aug 2014 23:14:27.647,204.711
2,29668.890,11 Aug 2014 00:44:28.890,30327.689,11 Aug 2014 00:55:27.689,658.798
3,35670.315,11 Aug 2014 02:24:30.315,35841.949,11 Aug 2014 02:27:21.949,171.635
4,68971.202,11 Aug 2014 11:39:31.202,69617.774,11 Aug 2014 11:50:17.774,646.572
5,74910.985,11 Aug 2014 13:18:30.985,75321.051,11 Aug 2014 13:25:21.051,410.067

"GEO-Cloud_003-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,0.000,10 Aug 2014 16:30:00.000,12.344,10 Aug 2014 16:30:12.344,12.344
2,5173.163,10 Aug 2014 17:56:13.163,5780.640,10 Aug 2014 18:06:20.640,607.477
3,10925.244,10 Aug 2014 19:32:05.244,11578.674,10 Aug 2014 19:42:58.674,653.430
4,16730.307,10 Aug 2014 21:08:50.307,17394.351,10 Aug 2014 21:19:54.351,664.044
5,22621.831,10 Aug 2014 22:47:01.831,23213.961,10 Aug 2014 22:56:53.961,592.130
6,28636.316,11 Aug 2014 00:27:16.316,29013.944,11 Aug 2014 00:33:33.944,377.627
7,58487.831,11 Aug 2014 08:44:47.831,58975.767,11 Aug 2014 08:52:55.767,487.936
8,64300.858,11 Aug 2014 10:21:40.858,64934.627,11 Aug 2014 10:32:14.627,633.769
9,70120.631,11 Aug 2014 11:58:40.631,70787.853,11 Aug 2014 12:09:47.853,667.222
10,75930.881,11 Aug 2014 13:35:30.881,76567.152,11 Aug 2014 13:46:07.152,636.271
11,81718.066,11 Aug 2014 15:11:58.066,82309.500,11 Aug 2014 15:21:49.500,591.434

"GEO-Cloud_004-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,831.656,10 Aug 2014 16:43:51.656,1430.435,10 Aug 2014 16:53:50.435,598.779
